Altium Designer Pick and Place Locations
D:\SynologyDrive\IRNAS-Projects\KORUZA\KORUZA-Electronics\koruza-compute-module-board\04_OUTPUT_FILES\Koruza_V1.3_PICK & PLACE\Koruza_V1.3_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       11/08/21
Time:       09:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"R75","RES0603","101.8860","66.4225","101.8860","66.4225","101.8860","65.6725","TopLayer","90","10k"
"R74","RES0603","100.1760","66.4355","100.1760","66.4355","100.1760","65.6855","TopLayer","90","10k"
"R73","RES0603","96.7540","66.4285","96.7540","66.4285","96.7540","65.6785","TopLayer","90","10k"
"R72","RES0603","98.4610","66.4345","98.4610","66.4345","98.4610","65.6845","TopLayer","90","10k"
"SB3","Solderbridge","34.0000","57.3421","34.0000","57.0297","34.0000","57.0297","BottomLayer","90","Solderbridge"
"SB2","Solderbridge","33.9750","54.2919","33.9750","53.9795","33.9750","53.9795","BottomLayer","90","Solderbridge"
"SB1","Solderbridge","36.5500","52.0921","36.5500","51.7797","36.5500","51.7797","BottomLayer","90","Solderbridge"
"U17","HVQFN16","40.9500","55.4295","40.9500","55.4295","42.9000","54.4545","TopLayer","180","PCA9546ABS"
"R71","RES0603","114.8750","69.4795","114.8750","69.4795","114.1250","69.4795","TopLayer","0","4k7"
"R70","RES0603","114.8500","71.2295","114.8500","71.2295","114.1000","71.2295","TopLayer","0","4k7"
"R69","RES0603","103.8000","70.3045","103.8000","70.3045","103.0500","70.3045","TopLayer","0","4k7"
"R68","RES0603","103.8000","72.0295","103.8000","72.0295","103.0500","72.0295","TopLayer","0","4k7"
"R24","RES0603","37.1500","52.2795","37.1500","52.2795","37.9000","52.2795","TopLayer","180","4k7"
"R23","RES0603","39.0250","50.4545","39.0250","50.4545","39.7750","50.4545","TopLayer","180","4k7"
"P6","BM04B-SRSS","109.1250","72.4795","109.1250","72.4795","107.6250","71.2170","TopLayer","0","BM04B-SRSS-TB(LF)(SN)"
"P5","BM04B-SRSS","98.3000","72.4795","98.3000","72.4795","96.8000","71.2170","TopLayer","0","BM04B-SRSS-TB(LF)(SN)"
"C51","CAP0603","45.8250","51.3545","45.8250","51.3545","45.8250","52.1045","TopLayer","270","100nF"
"C50","CAP0603","44.2500","51.3295","44.2500","51.3295","44.2500","52.0795","TopLayer","270","1uF"
"U3","SOT23127P600-8N","107.3250","39.7045","107.3250","39.7045","108.2750","41.0795","TopLayer","270","SRV05-4ATCT"
"C22","CAP0603","107.3500","34.8045","107.3500","34.8045","108.1000","34.8045","TopLayer","180","20pF"
"R28","RES1206","95.2495","20.1930","95.2495","20.1930","95.2495","18.7430","TopLayer","90","0R"
"R27","RES1206","94.1700","30.9245","94.1700","30.9245","92.7200","30.9245","TopLayer","0","0R"
"FB1","CAP0805","4.9000","68.4795","4.9000","68.4795","3.9500","68.4795","TopLayer","0","0.15OHM, 1A"
"U16","SOP127P600-8N","18.7500","19.2295","18.7500","19.2295","20.0200","23.6545","TopLayer","270","PC817X2NIP0F"
"U15","SOT23127P600-8N","147.3250","21.5295","147.3250","21.5295","148.2750","22.9045","TopLayer","270","USBLC6-2SC6"
"U14","SON65P200X63_HS-7N","152.2750","27.7795","152.2750","27.7795","153.2650","27.1295","TopLayer","180","AP2553FDC-7"
"U13","SOT23127P600-8N","143.3500","21.5295","143.3500","21.5295","144.3000","22.9045","TopLayer","270","USBLC6-2SC6"
"U12","SON65P200X63_HS-7N","140.2500","29.1545","140.2500","29.1545","141.2400","28.5045","TopLayer","180","AP2553FDC-7"
"U11","SOT23127P600-8N","83.9750","21.2045","83.9750","21.2045","84.9250","22.5795","TopLayer","270","USBLC6-2SC6"
"U10","SON65P200X63_HS-7N","82.0250","31.6545","82.0250","31.6545","83.0150","31.0045","TopLayer","180","AP2553FDC-7"
"U9","SOT23127P600-8N","87.8500","21.2045","87.8500","21.2045","88.8000","22.5795","TopLayer","270","USBLC6-2SC6"
