Altium Designer Pick and Place Locations
D:\Synology Drive\IRNAS-Projects\KORUZA\KORUZA-Electronics\04_OUTPUT_FILES\Koruza_V1.3_PICK & PLACE\Koruza_V1.3_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       13/04/21
Time:       08:56
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"R75","RES0603","97.8860","62.1680","97.8860","62.1680","97.8860","61.4180","TopLayer","90","10k"
"R74","RES0603","96.1760","62.1810","96.1760","62.1810","96.1760","61.4310","TopLayer","90","10k"
"R73","RES0603","92.7540","62.1740","92.7540","62.1740","92.7540","61.4240","TopLayer","90","10k"
"R72","RES0603","94.4610","62.1800","94.4610","62.1800","94.4610","61.4300","TopLayer","90","10k"
"SB3","Solderbridge","30.0000","53.0876","30.0000","52.7752","30.0000","52.7752","BottomLayer","90","Solderbridge"
"SB2","Solderbridge","29.9750","50.0374","29.9750","49.7250","29.9750","49.7250","BottomLayer","90","Solderbridge"
"SB1","Solderbridge","32.5500","47.8376","32.5500","47.5252","32.5500","47.5252","BottomLayer","90","Solderbridge"
"U17","HVQFN16","36.9500","51.1750","36.9500","51.1750","38.9000","50.2000","TopLayer","180","PCA9546ABS"
"R71","RES0603","110.8750","65.2250","110.8750","65.2250","110.1250","65.2250","TopLayer","360","4k7"
"R70","RES0603","110.8500","66.9750","110.8500","66.9750","110.1000","66.9750","TopLayer","360","4k7"
"R69","RES0603","99.8000","66.0500","99.8000","66.0500","99.0500","66.0500","TopLayer","360","4k7"
"R68","RES0603","99.8000","67.7750","99.8000","67.7750","99.0500","67.7750","TopLayer","360","4k7"
"R24","RES0603","33.1500","48.0250","33.1500","48.0250","33.9000","48.0250","TopLayer","180","4k7"
"R23","RES0603","35.0250","46.2000","35.0250","46.2000","35.7750","46.2000","TopLayer","180","4k7"
