Field=#~Integer~#~50|Field=Description~String~Description~99|Field=Quantity~Integer~Quantity~75|Field=Supplier 1~String~Supplier 1~88|Field=Supplier Part Number 1~String~Supplier Part Number 1~88|Field=Category~String~Category~69|Field=LibRef~String~LibRef~69|Field=Manufacturer 1~String~Manufacturer 1~91|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~66|Field=Supplier Currency 1~String~Supplier Currency 1~66|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~66|Field=Supplier Stock 1~Integer~Supplier Stock 1~66|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~66|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~77|Field=Footprint~String~Footprint~98|ReportField=Currency~<none>|ReportField=ProductionQuantity~5|ReportField=ProjectFileName~koruza-compute-module-board.PrjPcb|ReportField=ProjectFullPath~C:\Users\vojislav\Documents\koruza-compute-module\koruza-compute-module-board\koruza-compute-module-board.PrjPcb|ReportField=Title~Bill of Materials For Project [koruza-compute-module-board.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~189|ReportField=ReportTime~8:45:27 AM|ReportField=ReportDate~08/31/2017|ReportField=ReportDateTime~08/31/2017 8:45:27 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Company~Koruza|ReportField=ProjectTitle~Koruza-CM|ReportField=Version~v0.3.1|ReportField=Website~www.koruza.net|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~08/31/2017|ReportField=CurrentTime~8:30:53 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\vojislav\Documents\koruza-compute-module\koruza-compute-module-board\PAGE1 - CONTENTS.SchDoc|ReportField=DocumentName~PAGE1 - CONTENTS.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~08/25/2017|ReportField=Organization~|ReportField=ProjectName~koruza-compute-module-board.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~4|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~koruza-compute-module-board.PrjPcb|ReportField=DataSourceFullPath~C:\Users\vojislav\Documents\koruza-compute-module\koruza-compute-module-board\koruza-compute-module-board.PrjPcb
1|WURTH ELEKTRONIK - 74479773210 - INDUCTOR, MULTILAYER, 1UH, SMD|4|Farnell|2400015||74479773210|WURTH ELEKTRONIK|74479773210|GBP|20|41|7.8|0.39|CAP0805
2|VISHAY - CRCW06031K80FKEA - RES, THICK FILM, 1K8, 1%, 0.1W, 0603|6|Farnell|1652854||CRCW06031K80FKEA|VISHAY|CRCW06031K80FKEA|GBP|30|-2|1.257|0.0419|RES0603
3|VISHAY - CRCW060349R9FKEA - RES, THICK FILM, 49R9, 1%, 0.1W, 0603|4|Farnell|1469817||CRCW060349R9FKEA|VISHAY|CRCW060349R9FKEA|GBP|20|-2|0.672|0.0336|RES0603
4|VISHAY - RCA060310R0FKEA - RES, AUTO, THICK FILM, 10R, 1%, 0603|1|Farnell|2616585||RCA060310R0FKEA|VISHAY|RCA060310R0FKEA|GBP|5|7045|||RES0603
5|TEXAS INSTRUMENTS - INA219AIDCNR - CURRENT / POWER MONITOR, 120DB, 8SOT23|1|Farnell|2295989||INA219AIDCNR|TEXAS INSTRUMENTS|INA219AIDCNR|GBP|5|5708|9.5|1.90|SOT23-8PIN
6|TEXAS INSTRUMENTS - REG1117 - V REG LDO ADJ +1.5/13.7V, SMD, 1117|1|Farnell|1097566||REG1117|TEXAS INSTRUMENTS|REG1117|GBP|5|274|14.6|2.92|TI-DCY4_N
7|TE CONNECTIVITY - 1776275-2 - TERMINAL BLOCK, WIRE TO BRD, 2POS, 18AWG|1|Farnell|1098611||1776275-2|TE CONNECTIVITY|1776275-2|GBP|5|22419|0.99|0.198|Block Terminal 3.5mm
8|TE CONNECTIVITY - 2007194-1 - CAGE, 1X1, SFP+, PCI APPLICATIONS|1|Farnell|1755779|Optoelectronics|SFP_CAGE_FOOTPRINT|TE CONNECTIVITY|2007194-1|GBP|5|1124|17.15|3.43|PCB_SFP_CAGE_FOOTPRINT
9|TE CONNECTIVITY - TL2BR10FTE - RESISTOR, METAL , R10, 0.25W, 1%, 1206|1|Farnell|2330389||0.1R 1% 1206|TE CONNECTIVITY|TL2BR10FTE|GBP|5|1781|||RES1206
10|TDK - CGA4J1X5R1C106K125AC - CAP, MLCC, X5R, 10UF, 16V, 0805|5|Farnell|2210948RL||CGA4J1X5R1C106K125AC|TDK|CGA4J1X5R1C106K125AC|GBP|25|5934|7.725|0.309|CAP0805
11|TDK - MPZ1608D101B - FERRITE BEAD, 0.15OHM, 1A, 0603|1|Farnell|1669740||MPZ1608D101B|TDK|MPZ1608D101B|GBP|5|21874|||CAP0805
12|1 Port RJ45 Magjack Connector Through Hole 10/100 Base-T, AutoMDIX, Power over Ethernet (PoE)|1|Mouser|530-0826-1L1T-57-F|Modular Connectors / Ethernet Connectors|Ethernet RJ45|Supplier disabled|Supplier disabled|Supplier disabled|||||0826-1L1T-57-F
13|MOSFET MOSFET N-CHANNEL SOT-523|5|Mouser|621-DMG1012T-7|MOSFET|DMG1012T-7|Supplier disabled|Supplier disabled|Supplier disabled|||||DMG1012T-7
14|Raspberry Pi camera connector|1|Mouser|571-1-1734248-5|FFC & FPC Connectors|Camera con 15 pin|Supplier disabled|Supplier disabled|Supplier disabled|||||1-1734248-5
15|Voltage Regulators - Switching Regulators Dual PWM Step-Down 40uA 1A 1.5MHz|1|Mouser|621-PAM2306AYPKE|Voltage Regulators - Switching Regulators|PAM2306AYPKE|Supplier disabled|Supplier disabled|Supplier disabled|||||WDFN12L
16|CONN JUMPER SHORTING .100" GOLD|1|Digi-Key|S9337-ND|Connectors, Interconnects|QPC02SXGN-RC|Sullins Connector Solutions|QPC02SXGN-RC|USD|5|161234|0.65|0.13|JUMPER
